name,times
android.permission.INTERNET,4893
android.permission.WRITE_EXTERNAL_STORAGE,4867
android.permission.READ_PHONE_STATE,4696
android.permission.ACCESS_NETWORK_STATE,4681
android.permission.ACCESS_WIFI_STATE,4458
android.permission.CHANGE_WIFI_STATE,4266
android.permission.GET_TASKS,4264
android.permission.CHANGE_NETWORK_STATE,4263
android.permission.RECEIVE_BOOT_COMPLETED,4130
android.permission.RECEIVE_SMS,4046
android.permission.READ_SMS,4012
android.permission.WRITE_SMS,3994
android.permission.SEND_SMS,3888
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,3610
android.permission.WAKE_LOCK,3602
android.permission.VIBRATE,3501
android.permission.READ_EXTERNAL_STORAGE,3457
android.permission.ACCESS_COARSE_LOCATION,3422
android.permission.ACCESS_FINE_LOCATION,3257
android.permission.WRITE_SETTINGS,3213
android.permission.CHANGE_CONFIGURATION,3018
android.permission.CALL_PHONE,3016
android.permission.RECEIVE_MMS,2815
android.permission.SYSTEM_ALERT_WINDOW,2704
android.permission.RECEIVE_WAP_PUSH,2649
android.permission.GET_ACCOUNTS,2388
android.permission.READ_LOGS,2191
android.permission.RUN_INSTRUMENTATION,1956
android.permission.BROADCAST_STICKY,1820
com.android.launcher.permission.INSTALL_SHORTCUT,1811
android.permission.DISABLE_KEYGUARD,1426
android.permission.READ_SETTINGS,1310
android.permission.WRITE_APN_SETTINGS,1298
android.permission.INTERACT_ACROSS_USERS_FULL,1191
com.android.launcher.permission.UNINSTALL_SHORTCUT,1181
android.permission.RESTART_PACKAGES,1011
android.permission.CAMERA,995
android.permission.MODIFY_AUDIO_SETTINGS,949
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,909
android.permission.READ_CONTACTS,902
android.permission.READ_PROFILE,847
android.permission.REAL_GET_TASKS,827
com.android.launcher.permission.READ_SETTINGS,773
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,700
android.permission.BROADCAST_SMS,654
android.permission.RECORD_AUDIO,640
android.permission.NFC,620
android.permission.ACCESS_MOCK_LOCATION,618
android.permission.ACCESS_GPS,617
android.permission.ACCESS_ASSISTED_GPS,615
android.permission.ACCESS_LOCATION,615
androd.permission.INSTALL_PACKAGES,614
org.simalliance.openmobileapi.SMARTCARD,608
android.permission.ACCESS_MTK_MMHW,578
android.permission.READ_USER_DICTIONARY,566
android.permission.RECEIVE_USER_PRESENT,560
android.permission.UPDATE_APP_OPS_STATS,556
android.permission.READ_INTERNAL_STORAGE,553
android.permission.WRITE_INTERNAL_STORAGE,553
android.permission.SAMSUNG_TUNTAP,551
android.permission.WRITE_SECURE_SETTINGS,543
android.permission.ACCESS_CACHE_FILESYSTEM,539
android.permission.MOUNT_FORMAT_FILESYSTEMS,447
android.permission.SYSTEM_OVERLAY_WINDOW,417
android.permission.READ_CALL_LOG,345
android.permission.MEDIA_CONTENT_CONTROL,310
android.webkit.permission.PLUGIN,162
android.permission.KILL_BACKGROUND_PROCESSES,75
android.permission.PROCESS_OUTGOING_CALLS,53
android.permission.MANAGE_ACCOUNTS,44
android.permission.BLUETOOTH,43
android.permission.WRITE_CONTACTS,40
android.permission.GET_PACKAGE_SIZE,39
com.google.android.c2dm.permission.RECEIVE,36
android.permission.ACCESS_COARSE_UPDATES,36
android.permission.MODIFY_PHONE_STATE,35
android.permission.BLUETOOTH_ADMIN,32
android.permission.FLASHLIGHT,31
android.permission.ACCESS_DOWNLOAD_MANAGER,31
com.android.alarm.permission.SET_ALARM,29
android.permission.SET_WALLPAPER,28
android.permission.WRITE_CALL_LOG,28
android.permission.EXPAND_STATUS_BAR,27
android.permission.USE_CREDENTIALS,27
com.android.launcher.permission.WRITE_SETTINGS,26
android.permission.CHANGE_WIFI_MULTICAST_STATE,21
android.permission.PACKAGE_USAGE_STATS,20
android.permission.CLEAR_APP_CACHE,20
com.htc.launcher.permission.READ_SETTINGS,20
com.android.browser.permission.READ_HISTORY_BOOKMARKS,20
com.google.android.providers.gsf.permission.READ_GSERVICES,19
android.permission.REORDER_TASKS,18
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,17
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,16
android.permission.BIND_ACCESSIBILITY_SERVICE,16
android.permission.AUTHENTICATE_ACCOUNTS,16
android.permission.BATTERY_STATS,16
com.google.android.googleapps.permission.GOOGLE_AUTH.knol,15
android.permission.READ_SYNC_STATS,15
android.permission.READ_CELL_BROADCASTS,15
com.google.android.providers.talk.permission.WRITE_ONLY,15
com.google.android.googleapps.permission.GOOGLE_AUTH.sierra,15
com.google.android.googleapps.permission.GOOGLE_AUTH.news,15
android.permission.SET_WALLPAPER_HINTS,15
android.permission.USE_SIP,15
com.qihoo.appstore.rtservice.ACCESS_RTSERVICE,15
com.google.android.googleapps.permission.GOOGLE_AUTH.mail,15
